#Date,#Open,#High,#Low,#Close,#Adj Close,#Volume
12/31/2010,12.29,12.29,12.29,12.29,0.337077,500
1/3/2011,12.29,12.29,12.29,12.29,0.337077,0
1/4/2011,12.29,12.29,12.29,12.29,0.337077,0
1/5/2011,12.04,12.39,12.04,12.38,0.339545,800
1/6/2011,11.93,11.93,11.93,11.93,0.327203,600
1/7/2011,11.61,11.61,11.61,11.61,0.318426,400
1/10/2011,12.35,12.35,12.35,12.35,0.338722,200
1/11/2011,12.35,12.35,12.35,12.35,0.338722,0
1/12/2011,12.35,12.35,12.35,12.35,0.338722,0
1/13/2011,11.86,11.86,11.86,11.86,0.325283,2800
1/14/2011,11.86,11.86,11.86,11.86,0.325283,0
1/18/2011,11.86,11.86,11.86,11.86,0.325283,0
1/19/2011,11.86,11.86,11.86,11.86,0.325283,0
1/20/2011,11.86,11.86,11.86,11.86,0.325283,0
1/21/2011,11.89,11.89,11.89,11.89,0.326106,300
1/24/2011,11.89,11.89,11.89,11.89,0.326106,0
1/25/2011,11.89,11.89,11.89,11.89,0.326106,0
1/26/2011,11.91,11.91,11.9,11.9,0.32638,1300
1/27/2011,11.9,11.9,11.9,11.9,0.32638,0
1/28/2011,11.57,11.57,11.57,11.57,0.317329,400
1/31/2011,11.57,11.57,11.57,11.57,0.317329,0
2/1/2011,11.07,11.07,11.07,11.07,0.303616,900
2/2/2011,11.16,11.16,10.99,10.99,0.301422,1000
2/3/2011,10.99,10.99,10.99,10.99,0.301422,0
2/4/2011,10.99,10.99,10.99,10.99,0.301422,0
2/7/2011,10.99,10.99,10.99,10.99,0.301422,0
2/8/2011,10.89,10.89,10.89,10.89,0.298679,900
2/9/2011,10.89,10.89,10.89,10.89,0.298679,0
2/10/2011,10.67,10.67,10.67,10.67,0.292645,500
2/11/2011,10.67,10.67,10.67,10.67,0.292645,0
2/14/2011,10.49,10.49,10.49,10.49,0.287708,300
2/15/2011,10.83,10.83,10.42,10.42,0.285788,800
2/16/2011,10.48,10.48,10.34,10.47,0.28716,81600
2/17/2011,10.5,10.75,10.49,10.75,0.294839,48500
2/18/2011,10.79,10.8,10.75,10.8,0.296211,5100
2/22/2011,10.61,10.61,10.55,10.55,0.289354,1500
2/23/2011,10.6,10.6,10.51,10.51,0.288257,2000
2/24/2011,10.38,10.38,10.3,10.3,0.282497,1300
2/25/2011,10.45,10.45,10.45,10.45,0.286611,400
2/28/2011,10.45,10.45,10.45,10.45,0.286611,0
3/1/2011,11.36,11.36,11.1,11.1,0.304439,1500
3/2/2011,11.1,11.1,11.1,11.1,0.304439,0
3/3/2011,11.1,11.1,11.1,11.1,0.304439,0
3/4/2011,11.1,11.1,11.1,11.1,0.304439,0
3/7/2011,11.34,11.34,11.34,11.34,0.311021,1100
3/8/2011,11.34,11.34,11.34,11.34,0.311021,0
3/9/2011,11.4,11.4,11.4,11.4,0.312667,5500
3/10/2011,11.4,11.4,11.4,11.4,0.312667,0
3/11/2011,10.49,10.49,10.49,10.49,0.287708,400
3/14/2011,10.49,10.49,10.49,10.49,0.287708,0
3/15/2011,10.15,10.15,9.79,9.82,0.269332,1800
3/16/2011,9.63,9.63,9.63,9.63,0.264121,100
3/17/2011,9.63,9.63,9.63,9.63,0.264121,0
3/18/2011,9.67,9.67,9.67,9.67,0.265218,200
3/21/2011,9.67,9.67,9.67,9.67,0.265218,0
3/22/2011,9.67,9.67,9.67,9.67,0.265218,0
3/23/2011,9.64,9.64,9.64,9.64,0.264395,700
3/24/2011,9.64,9.64,9.64,9.64,0.264395,0
3/25/2011,9.64,9.64,9.64,9.64,0.264395,0
3/28/2011,9.64,9.64,9.64,9.64,0.264395,0
3/29/2011,9.64,9.64,9.64,9.64,0.264395,0
3/30/2011,10.23,10.54,10.23,10.54,0.28908,700
3/31/2011,10.19,10.19,10.19,10.19,0.27948,200
4/1/2011,10.34,10.34,10.34,10.34,0.283594,200
4/4/2011,10.27,10.27,10.27,10.27,0.281674,1900
4/5/2011,10.11,10.11,10.11,10.11,0.277286,300
4/6/2011,10.53,10.53,10.53,10.53,0.288805,900
4/7/2011,10.38,10.38,10.38,10.38,0.284691,200
4/8/2011,10.17,10.17,10.17,10.17,0.278932,400
4/11/2011,10.17,10.17,10.17,10.17,0.278932,0
4/12/2011,10.17,10.17,10.17,10.17,0.278932,0
4/13/2011,10.17,10.17,10.17,10.17,0.278932,0
4/14/2011,9.8,9.8,9.8,9.8,0.268784,100
4/15/2011,9.51,9.51,9.51,9.51,0.26083,1100
4/18/2011,9.51,9.51,9.51,9.51,0.26083,0
4/19/2011,9.44,9.44,9.44,9.44,0.25891,600
4/20/2011,9.56,9.56,9.56,9.56,0.262201,1400
4/21/2011,9.71,9.73,9.71,9.73,0.266864,44200
4/25/2011,9.67,9.67,9.67,9.67,0.265218,1500
